No.,商品名,卸価格
GC517GR,グラスコード（ストレッチ）(グリーン）,1150
GC517BR,グラスコード（ストレッチ）(ブラウン）,1150
GC517B,グラスコード（ストレッチ）(ブルー）,1150
GC516R,グラスコード(静電気除去)(エンジ),920
GC516DB,グラスコード(静電気除去)(ダークブルー),920
GC516BR,グラスコード(静電気除去)(ブラウン),920
GC516BK,グラスコード(静電気除去)(ブラック),920
GC515R,グラスコード(雅)(あかね),863
GC515PU,グラスコード(雅)(すみれ),863
GC515GR,グラスコード(雅)(若草),863
GC515BK,グラスコード(雅)(漆黒),863
GC514BR,グラスコード(スポーツタイプ)(ブラウン),863
GC512LBR,グラスチェーン(スエード調（ライトブラウン）,748
GC512BR,グラスチェーン(スエード調（ブラウン）,748
GC511NB,グラスチェーン(ｶﾗｰｺｰﾄﾞ)（ネイビーブルー）,920
GC511LBR,グラスチェーン(ｶﾗｰｺｰﾄﾞ)（ライトブラウン）,920
GC511GL,グラスチェーン(ｶﾗｰｺｰﾄﾞ)（グレー）,920
GC508BR,ｸﾞﾗｽﾁｪｰﾝ(ｶﾗｰｺｰﾄﾞ)(ブラウン),690
GC508BK-L,ｸﾞﾗｽﾁｪｰﾝ(ｶﾗｰｺｰﾄﾞ)(ブラック)ロング,690
GC508BK,ｸﾞﾗｽﾁｪｰﾝ(ｶﾗｰｺｰﾄﾞ)(ブラック),690
GC507R,ｸﾞﾗｽﾁｪｰﾝ(ｶﾗｰｺｰﾄﾞ)(エンジ),575
GC507PU,ｸﾞﾗｽﾁｪｰﾝ(ｶﾗｰｺｰﾄﾞ)(パープル),575
GC507P,ｸﾞﾗｽﾁｪｰﾝ(ｶﾗｰｺｰﾄﾞ)(ピンク),575
GC507BK,ｸﾞﾗｽﾁｪｰﾝ(ｶﾗｰｺｰﾄﾞ)(ブラック),575
GC507B,ｸﾞﾗｽﾁｪｰﾝ(ｶﾗｰｺｰﾄﾞ)(ブルー),575
GC506R,ｸﾞﾗｽﾁｪｰﾝ(ｶﾗｰｺｰﾄﾞ)(エンジ),1093
GC506LBR,ｸﾞﾗｽﾁｪｰﾝ(ｶﾗｰｺｰﾄﾞ)(ライトブラウン),1093
GC506GR,ｸﾞﾗｽﾁｪｰﾝ(ｶﾗｰｺｰﾄﾞ)(グリーン),1093
GC505R,グラスチェーン(カラーコード)(エンジ),1150
GC505BR,グラスチェーン(カラーコード)(ブラウン),1150
GC505BK,グラスチェーン(カラーコード)(ブラック),1150
GC505B,グラスチェーン(カラーコード)(ブルー),1150
GC502R,グラスチェーン(カラーコード･エンジ),230
GC502GL,グラスチェーン(カラーコード･グレー),230
GC502BR,グラスチェーン(カラーコード･ブラウン),230
GC502BK,グラスチェーン(カラーコード･ブラック),230
GC502B,グラスチェーン(カラーコード･ブルー),230
GC501R,グラスチェーン(カラーコード･エンジ),575
GC501NB-L,ｸﾞﾗｽﾁｪｰﾝ(ｶﾗｰｺｰﾄﾞ)(ﾈｲﾋﾞｰﾌﾞﾙｰ)ロング,575
GC501NB,グラスチェーン(カラーコード･ネイビーブルー),575
GC501LBR-L,ｸﾞﾗｽﾁｪｰﾝ(ｶﾗｰｺｰﾄﾞ)(ﾗｲﾄﾌﾞﾗｳﾝ)ロング,575
GC501LBR,ｸﾞﾗｽﾁｪｰﾝ(ｶﾗｰｺｰﾄﾞ)(ﾗｲﾄﾌﾞﾗｳﾝ),575
GC501GR-L,ｸﾞﾗｽﾁｪｰﾝ(ｶﾗｰｺｰﾄﾞ)(グリーン)ロング,575
GC501GR,グラスチェーン(カラーコード･グリーン),575
GC501BK-L,ｸﾞﾗｽﾁｪｰﾝ(ｶﾗｰｺｰﾄﾞ)(ブラック)ロング,575
GC501BK,グラスチェーン(カラーコード･ブラック),575
GC501B,グラスチェーン(カラーコード･ブルー),575
GC402W01,グラスホルダー(リーフ･シルバー),575
GC402G01,グラスホルダー(リーフ･ゴールド),575
GC401W03,グラスホルダー (ブラウンパール),575
GC219G,グラスチェーン(ゴールド・留め具花）,1380
GC218M,グラスチェーン(ｱﾝﾃｨｰｸ・留め具花）,1438
GC217G,グラスチェーン(ゴールド)留め具花,950
GC215W,グラスチェーン（シルバー）留め具パール,1093
GC214G,グラスチェーン（ゴールド）留め具パール,1093
GC213W,グラスチェーン（シルバー）,1323
GC212W,グラスチェーン（シルバー）,1323
GC212G,グラスチェーン（ゴールド）,1323
GC212BK,グラスチェーン（ブラック）,1323
GC210G,グラスチェーン（ゴールド）,1208
GC209P,グラスチェーン（ピンク）,1438
GC209OR,グラスチェーン（オレンジ）,1438
GC209B,グラスチェーン（ブルー）,1438
GC208BK01,グラスチェーン (ブラック),1035
GC207W01,グラスチェーン (シルバー),1035
GC206W01,グラスチェーン (パール･シルバー),1150
GC206G01,グラスチェーン (パール･ゴールド),1150
GC205W01,グラスチェーン (ホワイトパール),1150
GC204W01,グラスチェーン (シルバー),1380
GC201W02,グラスチェーン (シルバー),1150
GC201G01,グラスチェーン (ゴールド),1150
GC114W,グラスチェーン(シルバー),863
GC114G,グラスチェーン(ゴールド),863
GC113W,グラスチェーン(シルバー),1150
GC113G,グラスチェーン(ゴールド),1150
GC111W,グラスチェーン(シルバー),1035
GC111G,グラスチェーン(ゴールド),1035
GC110W,グラスチェーン(シルバー),863
GC110G,グラスチェーン(ゴールド),863
GC109W,グラスチェーン(シルバー),1150
GC109G,グラスチェーン(ゴールド),1150
GC108W,グラスチェーン(シルバー),1150
GC108G,グラスチェーン(ゴールド),1150
GC107W,グラスチェーン(シルバー),1323
GC107G,グラスチェーン(ゴールド),1323
GC105W,グラスチェーン (シルバー),863
GC105G,グラスチェーン (ゴールド),863
GC103W,グラスチェーン (シルバー),690
GC103G,グラスチェーン (ゴールド),690
GC004,チェーンゴム輪（黒 カシメタイプ） 10ヶ入,1300
GC003-W-1,ﾁｪｰﾝ丸管のみ(銀)10ヶ入,80
GC003-W,チェーンゴム輪（金具 銀） 10ヶ入,960
GC003-G-1,ﾁｪｰﾝ丸管のみ(金)10ヶ入,80
GC003-G,チェーンゴム輪（金具 金） 10ヶ入,960
GC003-3,チェーンゴム輪のみ特大(透明) 10ヶ入 内径11.0㎜,700
GC003-2,チェーンゴム輪のみ大(透明) 10ヶ入 内径9.8㎜,600
GC003-1,チェーンゴム輪のみ小(透明) 10ヶ入 内径7.8㎜,500
FM-1,フレームPDメーター,40000
FI-103,粘着付ミゾセル,1400
E84177821,双眼鏡マグノ 8×,5700
E841626152,オペラグラス VIVA FESTIVAL ホワイト 6倍,12360
E841626151,オペラグラス VIVA FESTIVAL ブラック 6倍,12360
E44441,オペラグラス フィガロ,14520
E44431,オペラグラス スワン,14520
E44421,オペラグラス カルメン,14520
E44411,オペラグラス ドレスデン,14520
E42968251,単眼鏡アドベンチャー8×,10500
E4293816,単眼鏡クラブＭ 8×,15840
E4293616,単眼鏡クラブＭ 6×,15000
E4268825,双眼鏡 セクターＦ 8ｘ25,21600
E4268125,双眼鏡ｾｸﾀｰF 10×,23040
