No.,商品名,卸価格
141-747S,箱蝶極小G(抗菌仕様)14.5×7(50組入),3790
141-747B,箱蝶極小G(抗菌仕様)14.5×7(300組入),21490
141-747A,箱蝶極小G(抗菌仕様)14.5×7(100組入),7415
141-747,箱蝶極小G(抗菌仕様)14.5×7,299
141-745,ｼﾘｺﾝﾋﾞﾙﾄｲﾝ極小 13×8,368
141-744,ｼﾘｺﾝﾋﾞﾙﾄｲﾝ極小(角) 12.5×7,368
141-743,2本ダキ足シリコンW 14.5×7,299
141-742,2本ダキ足シリコンG 14.5×7,299
141-741,鼻盛パット マッシュ型 14～8×8.5,368
141-740C,金属ワッシャW 3.5×0.5×1.5(1000個入),13150
141-740B,金属ワッシャW 3.5×0.5×1.5(300個入),4250
141-740A,金属ワッシャW 3.5×0.5×1.5(100個入),1520
141-740,金属ワッシャW 3.5×0.5×1.5,299
141-737S,箱蝶シリコン極小W 14.5×7(50組入),5370
141-737B,箱蝶シリコン極小W 14.5×7(300組入),30440
141-737A,箱蝶シリコン極小W 14.5×7(100組入),10500
141-737,箱蝶シリコン極小W 14.5×7,299
141-736S,箱蝶シリコン極小Ｇ 14.5×7(50組入),5370
141-736B,箱蝶シリコン極小Ｇ 14.5×7(300組入),30440
141-736A,箱蝶シリコン極小Ｇ 14.5×7(100組入),10500
141-736,箱蝶シリコン極小Ｇ 14.5×7,299
141-735-W,ナノセラミックパッド(ホワイト),437
141-735-S,ナノセラミックパッド(シルバー),437
141-735-PG,ナノセラミックパッド(ピンクゴールド),437
141-735-G,ナノセラミックパッド(ゴールド),437
141-735-DG,ナノセラミックパッド(ダークグレー),437
141-735-CG,ナノセラミックパッド(シャンパンゴールド),437
141-734,チタングス(ｸﾞｰｽﾈｯｸ大)13.5×7.5,437
141-733,チタングス(ｸﾞｰｽﾈｯｸ小)10.5×7.5,437
141-732,チタングス(L型)9.5×6.0,437
141-731-GL,一山パッド ニギリツブ グレー,633
141-731-DM,一山パッド ニギリツブ デミ,633
141-731-CL,一山パッド ニギリツブ クリア,633
141-729S,箱蝶シリコン極小(50組入),3790
141-729B,箱蝶シリコン極小(300組入),21490
141-729A,箱蝶シリコン極小(100組入),7415
141-729,箱蝶シリコン極小 14.5×7,299
141-728,ガードアームW,437
141-727,ガードアームG,437
141-726S,箱蝶シリコン極小W(50組入),5370
141-726B,箱蝶シリコン極小W(300組入),30440
141-726A,箱蝶シリコン極小W(100組入),10500
141-726,箱蝶シリコン極小Ｗ 14.5×7,299
141-725S,箱蝶シリコン極小Ｇ(50組入),5370
141-725B,箱蝶シリコン極小Ｇ(300組入),30440
141-725A,箱蝶シリコン極小Ｇ(100組入),10500
141-725,箱蝶シリコン極小Ｇ 14.5×7,299
141-724,チタンメタルパット 13.5×8,368
141-723,シリコンツインパット13×7,299
141-722,シリコンツインパット14×9,299
141-715,鼻盛パット 小型(厚) 15×6,299
141-714,鼻盛パット 小型(薄) 13×6.5,299
141-713,鼻盛パット 万能型 17×7,299
141-712,鼻盛パット 細長型 18.5×7,299
141-711,鼻盛パット 太リム用 18.5×8.5,299
141-710,鼻盛パット 高さ重視用 13.5×9,299
141-709,鼻盛パット 左右対称(小) 14×7,299
141-708,鼻盛パット 左右対称(中) 16×7.5,299
141-707,チタンメタルパット 12.5×7,368
141-706,アングルアジャストパットW 14.5×7,299
141-705,粘着付ソフト溝セル(極細),299
141-704C,丁番段付座金Ｗ(1000個入）,9990
141-704B,丁番段付座金Ｗ(300個入),3200
141-704A,丁番段付座金Ｗ(100個入),1150
141-704,丁番段付座金W 2.8×0.45×1.78 つば厚0.15,299
141-703C,丁番段付座金Ｗ(1000個入）,9990
141-703B,丁番段付座金Ｗ(300個入),3200
141-703A,丁番段付座金Ｗ(100個入),1150
141-703,丁番段付座金W 2.8×0.45×1.78,299
141-702C,丁番段付座金Ｗ(1000個入）,9990
141-702B,丁番段付座金Ｗ(300個入),3200
141-702A,丁番段付座金Ｗ(100個入),1150
141-702,丁番段付座金W 2.8×0.45×1.6 つば厚0.15,299
141-700-2,丁番組座金W凹 2.8×0.9×1.8,299
141-700-1,丁番組座金W凸 2.8×0.9×1.6,299
141-691C,±OSダブルロックW(1000本入),9990
141-691B,±OSダブルロックW(300本入),3200
141-691A,±OSダブルロックW(100本入),1150
141-691,±OSダブルロックW1.2×3.8,299
141-690C,±OSダブルロックW(1000本入),9990
141-690B,±OSダブルロックW(300本入),3200
141-690A,±OSダブルロックW(100本入),1150
141-690,±OSダブルロックW1.0×3.8,299
141-684-BK,ﾓﾀﾞﾝCP平芯5.0×70 ﾌﾞﾗｯｸ,299
141-683-BK,ﾓﾀﾞﾝCP平芯4.5×70 ﾌﾞﾗｯｸ,299
141-674S,箱蝶シリコン極小W (50組入),5370
141-674B,箱蝶シリコン極小W (300組入),30440
141-674A,箱蝶シリコン極小W (100組入),10500
141-674,箱蝶シリコン極小W 13×7.5,299
141-673S,箱蝶シリコン極小G (50組入),5370
141-673B,箱蝶シリコン極小G (300組入),30440
141-673A,箱蝶シリコン極小G (100組入),10500
141-673,箱蝶シリコン極小G 13×7.5,299
141-669,カーブパット 13×7,299
141-668,±木ネジW1.6×8.0×2.3,299
141-667-BR,ﾓﾀﾞﾝCP平芯2.1×70 ﾌﾞﾗｳﾝ,299
141-667-BK,ﾓﾀﾞﾝCP平芯2.1×70 ﾌﾞﾗｯｸ,299
141-666-BR,ﾓﾀﾞﾝCP平芯1.85×70 ﾌﾞﾗｳﾝ,299
141-666-BK,ﾓﾀﾞﾝCP平芯1.85×70 ﾌﾞﾗｯｸ,299
141-665-BR,ﾓﾀﾞﾝCP丸芯1.75×70 ﾌﾞﾗｳﾝ,299
141-665-BK,ﾓﾀﾞﾝCP丸芯1.75×70 ﾌﾞﾗｯｸ,299
141-664-BR,ﾓﾀﾞﾝCP丸芯1.5×70 ﾌﾞﾗｳﾝ,299
141-664-BK,ﾓﾀﾞﾝCP丸芯1.5×70 ﾌﾞﾗｯｸ,299
141-663S,箱蝶シリコンW大 （50組入）,5370
141-663B,箱蝶シリコンW大 （300組入）,30440
141-663A,箱蝶シリコンW大 （100組入）,10500
141-663,箱蝶シリコンW大 18×9,299
141-662S,箱蝶シリコンＧ大 （50組入）,5370
141-662B,箱蝶シリコンＧ大 （300組入）,30440
141-662A,箱蝶シリコンＧ大 （100組入）,10500
141-662,箱蝶シリコンＧ大 18×9,299
141-661,シリコンワンタッチツインパット15×9,299
141-660S,箱蝶ソフトW 大 （50組入）,3500
141-660B,箱蝶ソフトW 大 （300組入）,19620
141-660A,箱蝶ソフトW 大 （100組入）,6840
141-660,箱蝶ソフトW 大 19×9,299
141-659S,箱蝶ソフトG 大 （50組入）,3500
141-659B,箱蝶ソフトG 大 （300組入）,19620
141-659A,箱蝶ソフトG 大 （100組入）,6840
141-659,箱蝶ソフトG 大 19×9,299
141-658S,箱蝶ソフトW 中 （50組入）,3500
141-658B,箱蝶ソフトW 中 （300組入）,19620
141-658A,箱蝶ソフトW 中 （100組入）,6840
141-658,箱蝶ソフトW 中 17×8,299
141-657S,箱蝶ソフトG 中 （50組入）,3500
141-657B,箱蝶ソフトG 中 （300組入）,19620
141-657A,箱蝶ソフトG 中 （100組入）,6840
141-657,箱蝶ソフトG 中 17×8,299
141-656S,箱蝶ソフトW 小 （50組入）,3500
141-656B,箱蝶ソフトW 小 （300組入）,19620
141-656A,箱蝶ソフトW 小 （100組入）,6840
141-656,箱蝶ソフトW 小 14.5×7,299
141-655S,箱蝶ソフトG 小 （50組入）,3500
141-655B,箱蝶ソフトG 小 （300組入）,19620
141-655A,箱蝶ソフトG 小 （100組入）,6840
141-655,箱蝶ソフトG 小 14.5×7,299
141-654S,箱蝶ソフトW 極小 （50組入）,3500
141-654B,箱蝶ソフトW 極小 （300組入）,19620
141-654A,箱蝶ソフトW 極小 （100組入）,6840
141-654,箱蝶ソフトW 極小 14.5×7,299
141-653S,箱蝶ソフトG 極小 （50組入）,3500
141-653B,箱蝶ソフトG 極小 （300組入）,19620
141-653A,箱蝶ソフトG 極小 （100組入）,6840
141-653,箱蝶ソフトG 極小 14.5×7,299
141-651,力学パットサイエンスW 15×8,450
141-650,力学パットサイエンスG 15×8,450
141-649C,金属ワッシャW(1000個入),13150
141-649B,金属ワッシャW(300個入),4250
141-649A,金属ワッシャW(100個入),1520
141-649,金属ワッシャＷ 2.5×0.3×1.45,299
141-648C,金属ワッシャＧ(1000個入),13150
141-648B,金属ワッシャＧ(300個入),4250
141-648A,金属ワッシャＧ(100個入),1520
141-648,金属ワッシャＧ 2.5×0.3×1.45,299
141-647,花型ナットW 1.4×2.6×1.0,299
141-646,花型ナットＧ 1.4×2.6×1.0,299
141-645-DM,ﾓﾀﾞﾝCP平芯2.5×70 ﾃﾞﾐｱﾝﾊﾞｰ,299
141-645-CBR,ﾓﾀﾞﾝCP平芯2.5×70 ｸﾘｱﾌﾞﾗｳﾝ,299
141-645-BR,ﾓﾀﾞﾝCP平芯2.5×70 ﾌﾞﾗｳﾝ,299
141-645-BK,ﾓﾀﾞﾝCP平芯2.5×70 ﾌﾞﾗｯｸ,299
141-644-WN,ﾓﾀﾞﾝCP平芯1.85×70 ﾜｲﾝ,299
141-644-VP,ﾓﾀﾞﾝCP平芯1.85×70 ﾊﾞｲｵﾚｯﾄﾊﾟｰﾙ,299
141-644-PU,ﾓﾀﾞﾝCP平芯1.85×70 ﾊﾟｰﾌﾟﾙ,299
141-644-PP,ﾓﾀﾞﾝCP平芯1.85×70 ﾋﾟﾝｸﾊﾟｰﾙ,299
141-644-PL,ﾓﾀﾞﾝCP平芯1.85×70 ﾌﾟﾗﾑ,299
141-644-DM,ﾓﾀﾞﾝCP平芯1.85×70 ﾃﾞﾐｱﾝﾊﾞｰ,299
141-644-DB,ﾓﾀﾞﾝCP平芯1.85×70 ﾀﾞｰｸﾌﾞﾙｰ,299
141-644-CBR,ﾓﾀﾞﾝCP平芯1.85×70 ｸﾘｱﾌﾞﾗｳﾝ,299
141-644-BR,ﾓﾀﾞﾝCP平芯1.85×70 ﾌﾞﾗｳﾝ,299
141-644-BP,ﾓﾀﾞﾝCP平芯1.85×70 ﾍﾞｰｼﾞｭﾊﾟｰﾙ,299
141-644-BK,ﾓﾀﾞﾝCP平芯1.85×70 ﾌﾞﾗｯｸ,299
141-643-WN,ﾓﾀﾞﾝCP丸芯1.75×67 ﾜｲﾝ,299
141-643-VP,ﾓﾀﾞﾝCP丸芯1.75×67 ﾊﾞｲｵﾚｯﾄﾊﾟｰﾙ,299
141-643-PP,ﾓﾀﾞﾝCP丸芯1.75×67 ﾋﾟﾝｸﾊﾟｰﾙ,299
141-643-PL,ﾓﾀﾞﾝCP丸芯1.75×67 ﾌﾟﾗﾑ,299
141-643-DM,ﾓﾀﾞﾝCP丸芯1.75×67 ﾃﾞﾐｱﾝﾊﾞｰ,299
141-643-DB,ﾓﾀﾞﾝCP丸芯1.75×67 ﾀﾞｰｸﾌﾞﾙｰ,299
141-643-CBR,ﾓﾀﾞﾝCP丸芯1.75×67 ｸﾘｱﾌﾞﾗｳﾝ,299
141-643-BR,ﾓﾀﾞﾝCP丸芯1.75×67 ﾌﾞﾗｳﾝ,299
141-643-BP,ﾓﾀﾞﾝCP丸芯1.75×67 ﾍﾞｰｼﾞｭﾊﾟｰﾙ,299
141-643-BK,ﾓﾀﾞﾝCP丸芯1.75×67 ﾌﾞﾗｯｸ,299
141-642-WN,ﾓﾀﾞﾝCP丸芯1.5×67 ﾜｲﾝ,299
141-642-VP,ﾓﾀﾞﾝCP丸芯1.5×67 ﾊﾞｲｵﾚｯﾄﾊﾟｰﾙ,299
141-642-PU,ﾓﾀﾞﾝCP丸芯1.5×67 ﾊﾟｰﾌﾟﾙ,299
141-642-PP,ﾓﾀﾞﾝCP丸芯1.5×67 ﾋﾟﾝｸﾊﾟｰﾙ,299
141-642-PL,ﾓﾀﾞﾝCP丸芯1.5×67 ﾌﾟﾗﾑ,299
141-642-DM,ﾓﾀﾞﾝCP丸芯1.5×67 ﾃﾞﾐｱﾝﾊﾞｰ,299
141-642-DB,ﾓﾀﾞﾝCP丸芯1.5×67 ﾀﾞｰｸﾌﾞﾙｰ,299
141-642-CBR,ﾓﾀﾞﾝCP丸芯1.5×67 ｸﾘｱﾌﾞﾗｳﾝ,299
141-642-BR,ﾓﾀﾞﾝCP丸芯1.5×67 ﾌﾞﾗｳﾝ,299
141-642-BP,ﾓﾀﾞﾝCP丸芯1.5×67 ﾍﾞｰｼﾞｭﾊﾟｰﾙ,299
141-642-BK,ﾓﾀﾞﾝCP丸芯1.5×67 ﾌﾞﾗｯｸ,299
141-641-WN,ﾓﾀﾞﾝCP丸芯1.2×67 ﾜｲﾝ,299
141-641-VP,ﾓﾀﾞﾝCP丸芯1.2×67 ﾊﾞｲｵﾚｯﾄﾊﾟｰﾙ,299
141-641-PU,ﾓﾀﾞﾝCP丸芯1.2×67 ﾊﾟｰﾌﾟﾙ,299
141-641-PP,ﾓﾀﾞﾝCP丸芯1.2×67 ﾋﾟﾝｸﾊﾟｰﾙ,299
141-641-PL,ﾓﾀﾞﾝCP丸芯1.2×67 ﾌﾟﾗﾑ,299
141-641-DM,ﾓﾀﾞﾝCP丸芯1.2×67 ﾃﾞﾐｱﾝﾊﾞｰ,299
141-641-DB,ﾓﾀﾞﾝCP丸芯1.2×67 ﾀﾞｰｸﾌﾞﾙｰ,299
141-641-CBR,ﾓﾀﾞﾝCP丸芯1.2×67 ｸﾘｱﾌﾞﾗｳﾝ,299
141-641-BR,ﾓﾀﾞﾝCP丸芯1.2×67 ﾌﾞﾗｳﾝ,299
141-641-BP,ﾓﾀﾞﾝCP丸芯1.2×67 ﾍﾞｰｼﾞｭﾊﾟｰﾙ,299
141-641-BK,ﾓﾀﾞﾝCP丸芯1.2×67 ﾌﾞﾗｯｸ,299
141-640S,箱蝶シリコン 大(50組入),3790
141-640B,箱蝶シリコン 大(300組入),21490
141-640A,箱蝶シリコン 大(100組入),7415
141-640,箱蝶シリコン 大 19×9(穴径1.2mm),299
141-639S,箱蝶シリコン 小(50組入),3790
141-639B,箱蝶シリコン 小(300組入),21490
141-639A,箱蝶シリコン 小(100組入),7415
141-639,箱蝶シリコン 小 17×8(穴径1.2mm),299
141-638S,箱蝶シリコン 極小(50組入),3790
141-638B,箱蝶シリコン 極小(300組入),21490
141-638A,箱蝶シリコン 極小(100組入),7415
141-638,箱蝶シリコン 極小 15×8(穴径1.2mm),299
141-637S,箱蝶シリコン 極小(50組入),3790
141-637B,箱蝶シリコン 極小(300組入),21490
141-637A,箱蝶シリコン 極小(100組入),7415
141-637,箱蝶シリコン 極小 13×7(穴径1.2mm),299
141-636-WN,ｼｰﾄﾓﾀﾞﾝ平芯2.5×65 ﾜｲﾝ,368
141-636-W,ｼｰﾄﾓﾀﾞﾝ平芯2.5×65 ﾎﾜｲﾄ,368
141-636-P,ｼｰﾄﾓﾀﾞﾝ平芯2.5×65 ﾋﾟﾝｸ,368
141-636-LP,ｼｰﾄﾓﾀﾞﾝ平芯2.5×65 ﾗｲﾄﾋﾟﾝｸ,368
141-635-WN,ｼｰﾄﾓﾀﾞﾝ丸芯1.5×65 ﾜｲﾝ,368
141-635-W,ｼｰﾄﾓﾀﾞﾝ丸芯1.5×65 ﾎﾜｲﾄ,368
141-635-P,ｼｰﾄﾓﾀﾞﾝ丸芯1.5×65 ﾋﾟﾝｸ,368
141-635-LP,ｼｰﾄﾓﾀﾞﾝ丸芯1.5×65 ﾗｲﾄﾋﾟﾝｸ,368
141-634-WN,ﾓﾀﾞﾝCP丸芯1.0×70 ﾜｲﾝ,299
141-634-PL,ﾓﾀﾞﾝCP丸芯1.0×70 プラム,299
141-634-CBR,ﾓﾀﾞﾝCP丸芯1.0×70 ｸﾘｱﾌﾞﾗｳﾝ,299
141-634-BK,ﾓﾀﾞﾝCP丸芯1.0×70 ブラック,299
141-634-B,ﾓﾀﾞﾝCP丸芯1.0×70 ブルー,299
141-633C,金属ワッシャW(1000個入),13150
141-633B,金属ワッシャW(300個入),4250
141-633A,金属ワッシャW(100個入),1520
141-633,金属ワッシャW 1.2×2.3×0.3,299
141-632C,金属ワッシャＧ(1000個入),13150
141-632B,金属ワッシャＧ(300個入),4250
141-632A,金属ワッシャＧ(100個入),1520
141-632,金属ワッシャＧ 1.2×2.3×0.3,299
141-631-2,チタン用箱足W(洋白) 右側のみ,299
141-631-1,チタン用箱足W(洋白) 左側のみ,299
141-631,チタン用箱足W,299
141-630-2,チタン用箱足W(洋白) 右側のみ,299
141-630-1,チタン用箱足W(洋白) 左側のみ,299
141-630,チタン用箱足W,299
141-629-2,チタン用箱足W 右側のみ,299
141-629-1,チタン用箱足W 左側のみ,299
141-629,チタン用箱足W,299
141-628,Wブッシュ0.8×1.5（ショート）,299
141-627,Wブッシュ0.8×1.5 (ロング),299
141-626A,六角ナットW(100個入),1890
141-626,六角ナットW 1.2×2.25×1.0,299
141-625A,六角ナットＧ(100個入),1890
141-625,六角ナットＧ 1.2×2.25×1.0,299
141-624,六角ﾂｰﾎﾟｲﾝﾄﾈｼﾞW 1.2×10.0×2.25,299
141-623,六角ﾂｰﾎﾟｲﾝﾄﾈｼﾞG 1.2×10.0×2.25,299
141-622B,丁番段付ワッシャ・ジュラコン(300個入),6320
141-622A,丁番段付ワッシャ・ジュラコン(100個入),2330
141-622,丁番段付ﾜｯｼｬ･ｼﾞｭﾗｺﾝ 2.8×0.5×1.6,299
141-619,シリコンビルトイン 11×6,368
141-618,シリコンプッシュロック 極小15×8,299
141-617,シリコンプッシュロック 極小13×7,299
141-616,シリコンプッシュロック 9丸,299
141-615B,ジュラコンワッシャ(300個入),1870
141-615A,ジュラコンワッシャ(100個入),750
141-615,ジュラコンワッシャ 2.8×0.5×1.45,299
141-614,セル枠丁番ボード,299
141-613,シリコンツインパット10×7 穴径1.2㎜,299
141-604,シリコンワンタッチ大 19×9.5,299
141-603,シリコンワンタッチ小 17×8.5,299
141-602,シリコンワンタッチ極小 15×8,299
141-601,シリコンワンタッチ極小 13×7.3,299
141-600,箱蝶シリコン大 19×9.5,299
141-599,箱蝶シリコン小 17×8.5,299
141-598S,箱蝶シリコン小(50組入),3790
141-598B,箱蝶シリコン小(300組入),21490
141-598A,箱蝶シリコン小(100組入),7415
141-598,箱蝶シリコン小 15×8,299
141-597,箱蝶シリコン極小 13×7.3,299
141-595,ポリカ段付ワッシャ 1.5×2.5×1.4,299
141-594,ポリカワッシャ 1.2×2.5×0.5,299
141-593B,ジュラコンワッシャ(300個入),1870
141-593A,ジュラコンワッシャ(100個入),750
141-593,ジュラコンワッシャ 3.0×0.5×1.45,299
141-592,カシメＷ 14.3×7.3,299
141-591,2本ﾀﾞｷ足W 13.7×6.3,299
141-590,2本ﾀﾞｷ足G 13.7×6.3,299
141-589S,箱蝶大W18.5×9.3（50組入）,3790
141-589B,箱蝶大W18.5×9.3（300組入）,21490
141-589A,箱蝶大W18.5×9.3（100組入）,7415
141-589,箱蝶大Ｗ 18.5×9.3,299
141-588S,箱蝶大G18.5×9.3（50組入）,3790
141-588B,箱蝶大G18.5×9.3（300組入）,21490
141-588A,箱蝶大G18.5×9.3（100組入）,7415
141-588,箱蝶大Ｇ 18.5×9.3,299
141-587S,箱蝶中W17.5×8.8（50組入）,3790
141-587B,箱蝶中W17.5×8.8（300組入）,21490
141-587A,箱蝶中W17.5×8.8（100組入）,7415
141-587,箱蝶中Ｗ 17.5×8.8,299
141-586S,箱蝶中G17.5×8.8（50組入）,3790
141-586B,箱蝶中G17.5×8.8（300組入）,21490
141-586A,箱蝶中G17.5×8.8（100組入）,7415
141-586,箱蝶中Ｇ 17.5×8.8,299
141-585S,箱蝶小W16×8.6（50組入）,3790
141-585B,箱蝶小W16×8.6（300組入）,21490
141-585A,箱蝶小W16×8.6（100組入）,7415
141-585,箱蝶小Ｗ 16×8.6,299
141-584S,箱蝶小G16×8.6（50組入）,3790
141-584B,箱蝶小G16×8.6（300組入）,21490
141-584A,箱蝶小G16×8.6（100組入）,7415
141-584,箱蝶小Ｇ 16×8.6,299
141-583S,箱蝶中W17.5×9（50組入）,3500
141-583B,箱蝶中W17.5×9（300組入）,19620
141-583A,箱蝶中W17.5×9（100組入）,6840
141-583,箱蝶中Ｗ 17.5×9,299
141-582S,箱蝶中G17.5×9（50組入）,3500
141-582B,箱蝶中G17.5×9（300組入）,19620
141-582A,箱蝶中G17.5×9（100組入）,6840
141-582,箱蝶中Ｇ 17.5×9,299
141-581S,箱蝶小W16×8（50組入）,3500
141-581B,箱蝶小W16×8（300組入）,19620
141-581A,箱蝶小W16×8（100組入）,6840
141-581,箱蝶小Ｗ 16×8,299
141-580S,箱蝶小G16×8（50組入）,3500
141-580B,箱蝶小G16×8（300組入）,19620
141-580A,箱蝶小G16×8（100組入）,6840
141-580,箱蝶小Ｇ 16×8,299
141-579-4,ﾅｲﾛﾝﾚｰﾙ(T字型ﾒﾀﾙ用)細,299
141-579-2,ﾅｲﾛﾝﾚｰﾙ(T字型ﾒﾀﾙ用)太,299
141-579-1,ﾅｲﾛﾝﾚｰﾙ(T字型ﾒﾀﾙ用)極太,299
141-578-4,丁番リング (小) 3.3×2.4,299
141-578-3,丁番リング (中) 3.6×2.4,299
141-578-2,丁番リング (大) 4.0×2.5,299
141-578,丁番リング,299
141-575B,ナイロンナットW 1.4×2.24×1.5 300個入,4900
141-575A,ナイロンナットW 1.4×2.24×1.5 100個入,1890
141-575,ナイロンナットＷ 1.4×2.24×1.5,299
141-574B,ナイロンナットG 1.4×2.24×1.5 300個入,6320
141-574A,ナイロンナットG 1.4×2.24×1.5 100個入,2330
141-574,ナイロンナットＧ 1.4×2.24×1.5,299
141-572-R,ﾓﾀﾞﾝCP平芯ﾃﾝﾌﾟﾙｶｯﾄ用ｴﾝｼﾞ2.5×60,299
141-572-DM,ﾓﾀﾞﾝCP平芯ﾃﾝﾌﾟﾙｶｯﾄ用ﾃﾞﾐｱﾝﾊﾞ-2.5×60,299
141-572-BE,ﾓﾀﾞﾝCP平芯ﾃﾝﾌﾟﾙｶｯﾄ用ﾍﾞ-ｼﾞｭ2.5×60,299
141-571-R,ﾓﾀﾞﾝCP平芯ﾃﾝﾌﾟﾙｶｯﾄ用ｴﾝｼﾞ2.1×60,299
141-571-BP,ﾓﾀﾞﾝCP平芯ﾃﾝﾌﾟﾙｶｯﾄ用ﾍﾞ-ｼﾞｭﾊﾟ-ﾙ2.1×60,299
141-570-R,ﾓﾀﾞﾝCP平芯ﾃﾝﾌﾟﾙｶｯﾄ用ｴﾝｼﾞ2.5×70,299
141-570-BE,ﾓﾀﾞﾝCP平芯ﾃﾝﾌﾟﾙｶｯﾄ用ﾍﾞ-ｼﾞｭ2.5×70,299
141-568-DM,ｼｰﾄﾓﾀﾞﾝ平芯 ｱｾﾃｰﾄ 2.6×70 ﾃﾞﾐｱﾝﾊﾞｰ,368
141-568-BR,ｼｰﾄﾓﾀﾞﾝ平芯 ｱｾﾃｰﾄ 2.6×70 ブラウン,368
141-568-BK,ｼｰﾄﾓﾀﾞﾝ平芯 ｱｾﾃｰﾄ 2.6×70 ブラック,368
141-567-V,ｼｰﾄﾓﾀﾞﾝ丸芯 ｱｾﾃｰﾄ 1.5×73 ﾊﾞｲｵﾚｯﾄ,368
141-567-P,ｼｰﾄﾓﾀﾞﾝ丸芯 ｱｾﾃｰﾄ 1.5×73 ピンク,368
141-567-DM,ｼｰﾄﾓﾀﾞﾝ丸芯 ｱｾﾃｰﾄ 1.5×73 ﾃﾞﾐｱﾝﾊﾞｰ,368
141-567-BR,ｼｰﾄﾓﾀﾞﾝ丸芯 ｱｾﾃｰﾄ 1.5×73 ブラウン,368
141-567-BK,ｼｰﾄﾓﾀﾞﾝ丸芯 ｱｾﾃｰﾄ 1.5×73 ブラック,368
141-566B,ジュラコン段付ワッシャ1.9×3.0×1.5 300個入り,3650
141-566A,ジュラコン段付ワッシャ1.9×3.0×1.5 100個入り,1520
141-566,ｼﾞｭﾗｺﾝ段付ワッシャ 1.9×3.0×1.5,299
141-555,箱蝶形状記憶ﾊﾟｯﾄＷ大17.5×8.5,299
141-554,箱蝶形状記憶ﾊﾟｯﾄＧ大17.5×8.5,299
141-553,箱蝶形状記憶ﾊﾟｯﾄＷ中16×8.5,299
141-552,箱蝶形状記憶ﾊﾟｯﾄＧ中16×8.5,299
141-551,箱蝶形状記憶ﾊﾟｯﾄＷ小14.5×7.5,299
141-550,箱蝶形状記憶ﾊﾟｯﾄＧ小14.5×7.5,299
141-549,シリコン巻式 12×10,299
141-548,シリコン巻式丸 9.5丸,299
141-547,ワンタッチ小 17.5×8.5,299
141-546,ワンタッチ極小 14.5×7.5,299
141-545,ワンタッチ極小 13×7,299
141-544-GL,ﾓﾀﾞﾝCP平芯2.0×80（グレー）,299
141-544-DM,モダンＣＰ平芯 ﾃﾞﾐｱﾝﾊﾞｰ 2.0×80,299
141-544-BR,モダンＣＰ平芯 ブラウン 2.0×80,299
141-544-BK,モダンＣＰ平芯 ブラック 2.0×80,299
141-544-B,ﾓﾀﾞﾝCP平芯 ブルー2.0×80,299
141-543,箱蝶コーン･チタン芯 14×7,299
141-541B,丁番段付ﾜｯｼｬ･ｼﾞｭﾗｺﾝ 3.0×0.5×1.78 300個入,6320
141-541A,丁番段付ﾜｯｼｬ･ｼﾞｭﾗｺﾝ 3.0×0.5×1.78 100個入,2330
141-541,丁番段付ﾜｯｼｬ･ｼﾞｭﾗｺﾝ 3.0×0.5×1.78,299
141-540B,金属ワッシャＷ(300個入),3000
141-540A,金属ワッシャＷ(100個入),1090
141-540,金属ワッシャＷ 1.2×2.3×0.5,299
141-539B,金属ワッシャＧ(300個入),3650
141-539A,金属ワッシャＧ(100個入),1520
141-539,金属ワッシャＧ 1.2×2.3×0.5,299
141-534C,丁番段付座金Ｗ(1000個入）,9990
141-534B,丁番段付座金W2.8×0.5×1.6 300個入,3200
141-534A,丁番段付座金W2.8×0.5×1.6 100個入,1150
141-534,丁番段付座金W 2.8×0.5×1.6,299
141-530,箱蝶エアシリコン 小17×8.5,368
141-515,ﾊﾟｯﾄ止めﾜﾝﾀｯﾁﾋﾟﾝ 1.2x4.0x1.8,299
141-514,ﾗﾐﾅｰﾄＷ薄型段付ﾅｯﾄ 1.4×2.5×1.2(8本入),299
141-513,ﾗﾐﾅｰﾄＧ薄型段付ﾅｯﾄ 1.4×2.5×1.2(8本入),299
141-512,ﾗﾐﾅｰﾄ専用ﾅｲﾛﾝﾜｯｼｬ 3.0x0.3x1.85(16本入),299
141-507,六角ナットGUN 1.4×2.25×1.0,299
141-506,六角底付けナットGUN 1.4×2.25×2.0,299
141-505,±ﾂｰﾎﾟｲﾝﾄネジGUN 1.4×12.0,299
141-504,六角ネジGUN 1.4×12.0,299
141-503,箱蝶エアシリコン極小14.5×7.5,368
141-502,巻式丸 9.5丸,299
141-501,箱蝶極小 13×7,299
141-500,箱蝶 小 17×8.5,299
141-499,箱蝶極小 14.5×7.5,299
141-495,箱蝶チタンＷ 10.5×6,299
141-494,箱蝶コーンＷ 17.5×7.5,299
141-493,箱蝶コーンＧ 17.5×7.5,299
141-490,"シリコン小 17×9.5 ネジ,ワンタッチ兼用",299
141-489,"シリコン極小 15×8 ネジ,ワンタッチ兼用",299
141-488,"シリコン極小 13×7.5ネジ,ワンタッチ兼用",299
141-481S,箱蝶シリコンＷ極小Ｕ14.5×7(50組入),5370
141-481B,箱蝶シリコンＷ極小Ｕ14.5×7(300組入),30440
141-481A,箱蝶シリコンＷ極小Ｕ14.5×7(100組入),10500
141-481,箱蝶シリコンＷ極小Ｕ 14.5×7,299
141-480S,箱蝶シリコンＧ極小Ｕ14.5×7(50組入),5370
